year,geography,metric,unit,vector,value,decimals
1998,"Thunder Bay, Ontario",Non-violent crime severity index,Index,v44312615,136.74,2
1998,"Thunder Bay, Ontario",Youth crime severity index,Index,v53079624,,2
1998,"Thunder Bay, Ontario",Youth violent crime severity index,Index,v53079625,,2
1998,"Thunder Bay, Ontario",Youth non-violent crime severity index,Index,v53079617,,2
1998,"Thunder Bay, Ontario",Weighted clearance rate,Number,v53079618,47.53,2
1998,"Thunder Bay, Ontario",Violent weighted clearance rate,Number,v53079620,78.09,2
1998,"Thunder Bay, Ontario",Non-violent weighted clearance rate,Number,v53079622,37.6,2
1998,"Thunder Bay, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079623,,2
1998,Manitoba,Crime severity index,Index,v44312623,154.49,2
1998,Manitoba,Violent crime severity index,Index,v44312625,154.07,2
1998,Manitoba,Non-violent crime severity index,Index,v44312627,154.65,2
1998,Manitoba,Youth crime severity index,Index,v53079644,170.81,2
1998,Manitoba,Youth violent crime severity index,Index,v53079646,148.58,2
1998,Manitoba,Youth non-violent crime severity index,Index,v53079636,187.75,2
1998,Manitoba,Weighted clearance rate,Number,v53079638,35.64,2
1998,Manitoba,Violent weighted clearance rate,Number,v53079640,55.89,2
1998,Manitoba,Non-violent weighted clearance rate,Number,v53079642,27.88,2
1998,Manitoba,Percent change in non-violent weighted clearance rate,Percent,v53079643,,2
1998,"Winnipeg, Manitoba",Crime severity index,Index,v44312629,160.21,2
1998,"Winnipeg, Manitoba",Violent crime severity index,Index,v44312631,174.53,2
1998,"Winnipeg, Manitoba",Non-violent crime severity index,Index,v44312633,154.7,2
1998,"Winnipeg, Manitoba",Youth crime severity index,Index,v53079654,,2
1998,"Winnipeg, Manitoba",Youth violent crime severity index,Index,v53079655,,2
1998,"Winnipeg, Manitoba",Youth non-violent crime severity index,Index,v53079647,,2
1998,"Winnipeg, Manitoba",Weighted clearance rate,Number,v53079648,29.94,2
1998,"Winnipeg, Manitoba",Violent weighted clearance rate,Number,v53079650,47.75,2
1998,"Winnipeg, Manitoba",Non-violent weighted clearance rate,Number,v53079652,22.22,2
1998,"Winnipeg, Manitoba",Percent change in non-violent weighted clearance rate,Percent,v53079653,,2
1998,Saskatchewan,Crime severity index,Index,v44312635,176.2,2
1998,Saskatchewan,Violent crime severity index,Index,v44312637,141.76,2
1998,Saskatchewan,Non-violent crime severity index,Index,v44312639,189.44,2
1998,Saskatchewan,Youth crime severity index,Index,v53079674,215.13,2
1998,Saskatchewan,Youth violent crime severity index,Index,v53079676,126.26,2
1998,Saskatchewan,Youth non-violent crime severity index,Index,v53079666,282.81,2
1998,Saskatchewan,Weighted clearance rate,Number,v53079668,42.09,2
1998,Saskatchewan,Violent weighted clearance rate,Number,v53079670,62.07,2
1998,Saskatchewan,Non-violent weighted clearance rate,Number,v53079672,36.34,2
1998,Saskatchewan,Percent change in non-violent weighted clearance rate,Percent,v53079673,,2
1998,"Regina, Saskatchewan",Crime severity index,Index,v44312641,231.3,2
1998,"Regina, Saskatchewan",Violent crime severity index,Index,v44312643,183.95,2
1998,"Regina, Saskatchewan",Non-violent crime severity index,Index,v44312645,249.51,2
1998,"Regina, Saskatchewan",Youth crime severity index,Index,v53079684,,2
1998,"Regina, Saskatchewan",Youth violent crime severity index,Index,v53079685,,2
1998,"Regina, Saskatchewan",Youth non-violent crime severity index,Index,v53079677,,2
1998,"Regina, Saskatchewan",Weighted clearance rate,Number,v53079678,31.41,2
1998,"Regina, Saskatchewan",Violent weighted clearance rate,Number,v53079680,58.54,2
1998,"Regina, Saskatchewan",Non-violent weighted clearance rate,Number,v53079682,23.72,2
1998,"Regina, Saskatchewan",Percent change in non-violent weighted clearance rate,Percent,v53079683,,2
1998,"Saskatoon, Saskatchewan",Crime severity index,Index,v44312647,179.13,2
1998,"Saskatoon, Saskatchewan",Violent crime severity index,Index,v44312649,169.21,2
1998,"Saskatoon, Saskatchewan",Non-violent crime severity index,Index,v44312651,182.94,2
1998,"Saskatoon, Saskatchewan",Youth crime severity index,Index,v53079693,,2
1998,"Saskatoon, Saskatchewan",Youth violent crime severity index,Index,v53079694,,2
